"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1910","black_1910","total_1970","jail_1970","black_1970","total_2010","black_2010","jail_2010","jail_black_2010","total_2014","total_prison_2014","black_2014","jail_2014","jail_black_2014","prison_2014"
1277,-1664515.549,1083828.229,6.3462496,0,0,0,0,0,0.03375,668.1304932,0.08,495.5310059,0,0.237999991,1184.966919,7.07818985,0,0,1187.047363,1187.047363,5.37267828,0,0,0.104707599
46,-2071650.909,1465517.629,49.7334595,0,0,0,0,0,0.5761062,1043.772217,0.8437741,3351.172607,1.532213807,5.844639778,1211.936035,11.64408684,3.318500996,0.060746402,1187.753784,1187.753784,8.27354908,3.23374939,0.057329703,0.112660907
7620,-214095.829,65989.8287,0,0,0,0,0,0,0,5767.017578,111.4995804,7123.373535,5.340924263,136.3820953,1242.922607,6.874296665,2.268672943,0.030594999,1189.114746,1189.114746,22.2289238,2.002023459,0.07587,0.254579395
9711,-1715407.469,-290253.6113,50.3495789,0,0,0,0,0,0.0852044,630.5938721,7.0690107,2639.733398,11.14480495,117.5795059,1437.330444,94.98193359,5.869969368,0.718919098,1189.557983,1189.557983,35.45754623,5.194984913,0.250989884,0.246309713
6506,-163203.909,244111.5487,0,0,0,0,0,0,0,5635.103516,6.3726444,2828.585938,1.267824769,1.16336143,1209.635986,8.087368965,3.619437695,0.052961998,1190.014526,1190.014526,7.311265469,3.225538731,0.050466605,0.176514402
7752,-901136.749,40543.8687,101.1422501,0,0,0,0,0,0.05025,1856.812012,4.1424341,2345.060059,1.25040412,1.577247977,1213.999756,5.212859154,3.939248323,0.099995397,1190.494385,1190.494385,6.878673554,4.594749928,0.131957397,0.204026789
8338,-2198880.709,-61239.9713,57.0417747,0,0,0,0,0,0,709.2318726,2.7614543,1070.173706,1.512082696,29.99448013,1178.134399,63.43253326,3.587268353,0.80078727,1190.607056,1190.607056,74.12340546,4.037259102,0.889576256,0.094061397
3259,-137757.949,753030.7487,0,0,0,0,0,0,0,3461.430908,2.5903716,2224.554199,0.023228999,0.522765577,1187.45752,3.672567844,0.142123193,0.0076734,1190.878174,1190.878174,3.727484226,0.122687399,0.0053418,0.221824095
540,-137757.949,1261949.949,0,0,0,0,0,0,0,3128.963135,1.3900536,2155.570801,0.369969606,0.171977595,1194.965942,5.976318359,2.049441576,0,1193.011719,1193.011719,1.920207381,2.048960686,0,0.125124991
10676,-519447.349,-468375.3313,0,0,0,0,0,0,0,503.3043213,3.1212091,2214.766846,1.971694231,107.09021,1200.964966,44.62406158,10.00513649,1.074028134,1194.304443,1194.304443,38.9923439,9.908905983,1.060370684,0.380396098
4315,-2071650.909,574909.0287,263.5902405,0,0,0,0,0,0.302,437.6443787,0.3663242,1033.764404,1.715410233,18.75393867,1262.69043,8.268348694,4.821818352,0.047880001,1194.841064,1194.841064,10.80147362,5.830287457,0.0161546,0.128962606
5490,-1282826.149,396787.3087,1004.007263,0,0,0,0,0,0.487,2678.430664,0.154754,928.0533447,1.113274574,0.517158985,1038.961304,4.953053951,5.164554119,0.166516498,1195.687256,1195.687256,2.091517925,5.18606329,0.030652002,0.087149002
5682,-544893.309,371341.3487,19.8780003,0,0,0,0,0,0.01875,1167.610352,0.695466,1511.746216,1.232383966,3.405749798,1244.219971,7.3572402,6.758542538,0,1195.777466,1195.777466,14.62522888,6.729088783,0.372873694,0.012768
