"county","black_pop_1980","total_pop_1980","black_pop_2010","total_pop_2010","black_pop_2000","total_pop_2000","black_pop_1960","total_pop_1960","black_pop_1910","total_pop_1910"
29101,1973,39059,2279,52595,2089,48258,866,28981,1251,26297
29103,6,5508,14,4131,4,4361,18,6558,168,12403
29105,100,24323,241,35571,138,32513,169,18991,216,17363
29107,852,29925,742,33381,749,32960,968,25274,2869,30154
29109,9,28973,102,38634,95,35204,47,23260,91,26583
29111,356,10901,323,10211,265,10494,467,10984,776,15514
29113,548,22193,984,52566,677,38944,543,14783,1362,17033
29115,163,15495,86,12761,82,13754,225,16815,668,25253
29117,190,15739,367,15195,339,14558,336,15771,596,19453
29119,2,14917,133,23083,38,21681,5,11798,2,13539
29121,305,16313,353,15566,349,15762,307,16473,1004,30868
29123,5,10725,34,12226,15,11800,32,9366,280,11273
29125,3,7551,24,9176,29,8903,1,7282,8,10088
29127,1351,28638,1417,28781,1308,28289,1566,29522,2894,30572
29129,2,4685,6,3785,7,3757,3,5750,33,12335
29131,8,18532,99,24748,65,23564,20,13800,96,16717
29133,2934,15726,3440,14358,2757,13427,4941,20695,2006,14557
29135,212,12068,581,15607,561,14827,152,10500,503,14375
29137,310,9716,264,8840,357,9311,513,10688,1223,18304
29139,365,11537,201,12236,248,12136,539,11097,1176,15604
29141,94,13807,131,20565,98,19309,166,9476,410,12863
29143,3612,22945,2999,18956,3035,19760,6336,31350,2097,19488
29145,132,40555,438,58114,312,52636,153,30093,539,27136
29147,89,21996,566,23370,295,21912,8,22215,155,28833
29149,1,10238,15,10881,10,10344,3,9845,9,14681
29151,2,12014,28,13878,21,13062,14,10867,149,14283
29153,1,7961,11,9723,14,9542,0,6744,16,11926
29155,6567,24987,4899,18296,5259,20047,10255,38095,1533,19559
29157,21,16784,75,18971,33,18132,9,14642,228,14898
29159,1382,36378,1264,42201,1197,39403,1767,35120,2715,33913
29161,301,33633,1008,45156,596,39825,151,25396,136,15796
29163,1024,17568,1333,18516,1682,18351,1298,16706,3350,22556
29165,569,46341,5270,89322,2574,73781,288,23350,719,14429
29167,33,18822,235,31137,122,26992,0,13753,138,21561
29169,4649,42011,5984,52274,4935,41165,2772,46567,22,11438
29171,0,6092,9,4979,3,5223,2,6999,20,14308
29173,164,8911,108,10167,107,9626,212,8078,610,12913
29175,1618,25460,1490,25414,1734,24663,1133,22014,2458,26182
29177,316,21378,280,23494,341,23354,355,16075,1215,21451
29179,2,7230,45,6696,35,6689,0,5161,2,9592
29181,10,12458,49,14100,6,13509,2,9096,5,13099
29183,1921,144107,14960,360485,7635,283883,868,52970,1718,24695
29185,17,8622,53,9805,22,9652,36,8421,184,16412
29186,47,15180,118,18145,128,17842,70,12116,386,10607
29187,107,42600,2775,65359,1126,55641,167,36516,556,35738
29189,109684,973896,233029,998954,193306,1016315,19007,703532,4253,82417
