"county","total_1960","black_1960","total_1910","black_1910","total_2010","black_2010","total_2000","black_2000","total_1980","black_1980"
13245,135601,42513,58886,28390,200549,108633,199775,99391,181629,67981
13247,10572,2889,8916,3592,85215,39559,70111,12771,36747,3186
13249,3256,1839,5213,3291,5010,1169,3766,1178,3433,1250
13251,14919,7825,20202,12165,14593,6318,15374,6963,14043,6379
13253,6802,2611,NULL,NULL,8729,2916,9369,3247,9057,2953
13255,35404,9973,19741,10060,64073,21030,58417,18141,47899,13002
13257,18391,2555,9728,2222,26175,2845,25435,3053,21763,2637
13259,7371,5200,13437,10381,6058,2864,5252,3232,5896,3787
13261,24652,13015,29092,21243,32819,17001,33200,16276,29360,12981
13263,7127,4975,11696,8230,6865,4065,6498,4002,6536,4220
13265,3370,2096,8766,6450,1717,1024,2077,1253,2032,1318
13267,15837,5033,18569,5841,25520,7465,22305,7010,18134,5253
13269,8311,4012,10839,5379,8906,3503,8815,3752,7902,3186
13271,11715,4011,13288,4761,16500,6017,11794,4534,11445,3570
13273,12742,8208,22003,16607,9315,5700,10970,6658,12017,7301
13275,34319,14189,29071,17086,44720,16497,42737,16607,38098,14626
13277,23487,7000,11487,3777,40118,11618,38407,10760,32862,8530
13279,16837,4731,11206,3411,27223,6767,26067,6296,22592,5734
13281,4538,1,3932,15,10471,41,9319,12,5638,1
13283,5874,1943,NULL,NULL,6885,2247,6854,2269,6087,2030
13285,47189,15760,26228,15399,67044,22394,58779,18734,50003,15633
13287,8439,3112,10075,4018,8930,3712,9504,3895,9510,3499
13289,7935,4771,10736,7396,9023,3724,10590,4623,9354,4756
13291,6510,1,6918,64,21356,99,17289,100,9390,3
13293,23800,6682,12757,6998,27153,7590,27597,7712,25998,7145
13295,45264,2420,18692,2451,68756,2829,61053,2310,56470,2328
13297,20481,6129,25393,10070,83768,13103,60687,8749,31211,6576
13299,34219,8465,22957,8914,36312,10721,35483,9939,37180,8376
13301,7360,4609,11860,8132,5834,3602,6336,3768,6583,3922
13303,18903,10801,28174,17393,21187,11173,21176,11265,18842,9646
13305,17921,3788,13069,3309,30099,5996,26565,5398,20750,3953
13307,3247,2074,6151,4182,2799,1185,2390,1124,2341,1180
13309,5342,1735,NULL,NULL,7421,2614,6179,2050,5155,1530
13311,6935,299,5110,397,27144,457,19944,432,10120,392
13313,42109,1904,15934,1719,102599,3845,83525,3214,65789,2518
13315,7905,2639,13486,5505,9255,3252,8577,3106,7682,2452
13317,10961,5618,23441,16598,10593,4535,10687,4601,10951,5028
13319,9250,4458,10078,5155,9563,3672,10220,4160,10368,4654
13321,16682,8040,19147,9517,21679,5978,21967,6495,18064,6198
15001,61332,33,NULL,NULL,185079,1020,148677,698,92053,286
15003,500409,4878,NULL,NULL,953207,19256,876156,20619,762565,16843
15005,279,0,NULL,NULL,90,0,147,0,144,0
15007,28176,7,NULL,NULL,67091,278,58463,177,39082,66
15009,42576,25,NULL,NULL,154834,870,128094,509,70847,169
16001,93460,246,29088,168,392365,4441,300904,1942,173036,684
16003,2978,1,NULL,NULL,3976,5,3476,2,3347,0
16005,49342,494,19242,129,82839,625,75565,446,65421,486
