"county","jail_2014","jail_1970","jail_1980","jail_1990","jail_2000"
18129,334.31,156.52,95,169.76,102.16
18131,802.05,83.44,84.59,243.96,745.71
18133,498.88,88.13,60.95,107.44,411.77
18135,430.93,57.51,61.23,113.05,375.12
18137,404.01,139.08,29.6,83.9,148.2
18139,386.21,287.18,148.26,201.44,327.6
18141,285.56,46.39,47.05,125.11,181.13
18143,698.63,178.73,107.48,215.43,315.6
18145,574.87,80.68,92.25,136.01,598.4
18147,336.57,120.45,40.75,92.14,361.59
18149,562.36,64.29,102.55,259.07,297.91
18151,517.72,70.96,33.58,216.67,485.69
18153,398.99,8.6,17.03,239.3,434.22
18155,236.31,135.21,64.96,101.64,161.26
18157,264.39,18.85,25.78,115.01,236.06
18159,292.4,261.15,40.91,185.08,237.92
18161,420.43,25.54,112.96,161.33,317.89
18163,505.07,184.99,119.94,209.22,428.91
18165,657.63,79.76,30.29,171.56,396.86
18167,406.01,76.76,65.17,162.66,231.29
18169,444.05,65.18,60.28,190.66,381.04
18171,432.01,0,17.56,165.29,434.97
18173,165.94,29.48,51.73,234.34,294.97
18175,400.26,143.64,68.75,208.73,402.82
18177,674.75,106.18,120.09,235.48,435.07
18179,517.63,14.2,74.12,344.49,536.32
18181,710.62,0,0,144.76,571.77
18183,581.64,35.76,27.63,234.87,310.21
19001,67.13,36.87,35.95,34.34,48.14
19003,716.09,0,28.79,78.43,498.17
19005,58.74,49.03,20.22,35.14,68.82
19007,302.11,0,61.17,73.18,178.22
